n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
7,3,500,activation,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,1000,activation,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,1500,activation,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,2000,activation,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,2500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,3000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,3500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,4000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,4500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,5000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,5500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,6000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,6500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,7000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,7500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,8000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,8500,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,9000,blast,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,9500,overkill,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,10000,overkill,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,10500,overkill,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,11000,overkill,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,11500,overkill,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
7,3,12000,overkill,5,25PP,im_log_game_1,im,1,698,253,,,,,,,,,,,,,,,,
8,2,500,activation,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,1000,activation,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,1500,activation,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,2000,activation,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,2500,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,3000,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,3500,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,4000,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,4500,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,5000,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,5500,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,6000,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,6500,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,7000,blast,18,25PP,im_log_game_1,im,1,1306,766,,,,,,,,,,,,,,,,
8,2,7500,blast,18,25PP,im_log_game_1,im,1,1306,766,0.0,111.25,1300.0,654.9,2.77,40.68,21.725,11.3,29.3,20.3,29.3,31.403502989316337,778.47,,,
8,2,8000,blast,18,25PP,im_log_game_1,im,1,1306,766,0.0,108.99,1281.55,658.75,74.31,56.91,65.61,23.0,31.7,27.35,31.7,39.16490776192381,1283.82,,,
8,2,8500,blast,18,25PP,im_log_game_1,im,1,1306,766,0.0,106.01,1286.95,661.55,119.38,28.07,73.725,37.7,22.7,30.200000000000003,37.7,44.00659041552754,1161.07,,,
8,2,9000,blast,18,25PP,im_log_game_1,im,1,1306,766,0.0,99.55,1307.0,666.8,36.39,31.82,34.105000000000004,17.3,23.3,20.3,23.3,29.020337696174387,1016.84,,,
8,2,9500,blast,18,25PP,im_log_game_1,im,1,1306,766,0.0,94.71,1309.2,671.4,7.08,41.02,24.05,10.9,27.6,19.25,27.6,29.674399741191063,1314.68,,,
8,2,10000,blast,18,25PP,im_log_game_1,im,1,1306,766,0.0,107.16,1286.3,660.8,29.76,49.92,39.84,21.5,29.8,25.65,29.8,36.746292329975276,1486.12,,,
8,2,10500,overkill,18,25PP,im_log_game_1,im,1,1306,766,0.0,101.46,1274.3,672.75,8867.53,196.9,4532.215,355.0,79.9,217.45,355.0,363.8804886222948,1020.67,,,
8,2,11000,overkill,18,25PP,im_log_game_1,im,1,1306,766,0.0,551.36,756.55,778.0,10308.38,388.69,5348.535,310.6,72.4,191.5,310.6,318.92651191144336,646.47,,,
8,2,11500,overkill,18,25PP,im_log_game_1,im,1,1306,766,0.0,713.96,592.7,795.8,7.04,48.84,27.94,8.7,25.2,16.95,25.2,26.659519875646673,298.76,,,
8,2,12000,overkill,18,25PP,im_log_game_1,im,1,1306,766,0.0,709.55,598.1,814.7,12.95,5.11,9.03,12.3,9.1,10.7,12.3,15.300326793895614,272.2,,,
7,1,500,activation,2,25PP,im_log_game_1,im,1,586,854,0.0,58.87,605.8,799.3,52.35,6.18,29.265,19.1,10.3,14.700000000000001,19.1,21.700230413523265,323.94,607.0,800.35,4.02
7,1,1000,activation,2,25PP,im_log_game_1,im,1,586,854,0.0,58.94,607.1,799.1,5.21,22.16,13.685,14.6,15.8,15.2,15.8,21.51278689523977,288.35,607.0,800.35,4.28
7,1,1500,activation,2,25PP,im_log_game_1,im,1,586,854,0.0,47.1,616.0,816.7,21.57,4.47,13.02,14.3,8.4,11.350000000000001,14.3,16.58463143998081,221.6,607.0,800.35,18.71
7,1,2000,activation,2,25PP,im_log_game_1,im,1,586,854,0.0,47.32,605.5,811.4,0.99,8.93,4.96,5.3,11.8,8.55,11.8,12.93560976529518,287.44,607.0,800.35,11.25
7,1,2500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,58.8,608.2,799.8,7.52,1.31,4.415,10.7,5.3,8.0,10.7,11.940686747419512,235.57,607.0,800.35,3.02
7,1,3000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,58.09,611.5,802.25,6.34,3.91,5.125,10.0,8.1,9.05,10.0,12.868954891520913,222.25,607.0,800.35,5.11
7,1,3500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,44.55,612.95,819.0,21.53,71.08,46.305,15.1,27.6,21.35,27.6,31.46061029287258,237.24,607.0,800.35,19.66
7,1,4000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,45.89,607.1,811.7,116.07,12.03,64.05,31.3,19.8,25.55,31.3,37.03687351815755,303.8,607.0,800.35,14.75
7,1,4500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,33.04,589.85,822.4,18.51,24.58,21.545,14.4,14.7,14.55,14.7,20.57790076757102,225.36,607.0,800.35,26.22
7,1,5000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,39.53,601.1,817.4,11.55,7.63,9.59,12.2,11.3,11.75,12.2,16.629191201017566,277.7,607.0,800.35,18.73
7,1,5500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,39.55,608.0,820.7,1.09,1.89,1.49,4.3,5.9,5.1,5.9,7.3006848993775915,222.8,607.0,800.35,20.42
7,1,6000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,36.38,602.9,821.5,3.35,5.5,4.425,7.1,10.0,8.55,10.0,12.264175471673585,253.28,607.0,800.35,21.86
7,1,6500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,30.59,600.6,827.0,2.71,9.22,5.965,6.7,10.4,8.55,10.4,12.371337841963577,224.95,607.0,800.35,27.56
7,1,7000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,45.2,610.2,816.05,24.34,5.95,15.145,15.0,9.5,12.25,15.0,17.755280904564703,319.24,607.0,800.35,16.61
7,1,7500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,38.0,603.55,819.8,10.43,5.18,7.805,10.8,9.0,9.9,10.8,14.058449416631978,249.17,607.0,800.35,20.12
7,1,8000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,297.3,862.35,742.55,24435.51,2033.71,13234.609999999999,355.5,124.2,239.85,355.5,376.5712283220799,870.18,607.0,800.35,261.54
7,1,8500,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,536.57,1118.3,780.75,11102.29,222.23,5662.26,269.5,45.4,157.45,269.5,273.2972923393132,956.93,607.0,800.35,511.42
7,1,9000,blast,2,25PP,im_log_game_1,im,1,586,854,0.0,526.72,1108.3,785.85,0.41,74.53,37.47,2.8,28.8,15.8,28.8,28.93579098625092,753.57,607.0,800.35,501.66
7,1,9500,overkill,2,25PP,im_log_game_1,im,1,586,854,0.0,521.04,1105.0,806.05,3.69,57.79,30.74,7.6,26.8,17.2,26.8,27.85677655436824,543.88,607.0,800.35,498.02
7,1,10000,overkill,2,25PP,im_log_game_1,im,1,586,854,0.0,523.32,1108.25,820.1,3.98,10.05,7.015000000000001,8.5,13.4,10.95,13.4,15.868522300453813,287.11,607.0,800.35,501.66
7,1,500,activation,13,25PP,im_log_game_1,im,1,1102,854,0.0,39.56,1112.95,816.4,4.8,9.04,6.92,9.6,11.6,10.6,11.6,15.05722417977497,296.17,1095.6,827.7,21.53
7,1,1000,activation,13,25PP,im_log_game_1,im,1,1102,854,0.0,47.99,1113.8,807.6,1.97,11.11,6.54,5.2,15.2,10.2,15.2,16.064868502418562,468.33,1095.6,827.7,27.61
7,1,1500,activation,13,25PP,im_log_game_1,im,1,1102,854,0.0,40.7,1111.7,814.8,8.2,21.38,14.79,10.9,15.4,13.15,15.4,18.867167248953937,327.17,1095.6,827.7,20.91
7,1,2000,activation,13,25PP,im_log_game_1,im,1,1102,854,0.0,23.82,1107.1,830.8,0.51,25.41,12.96,2.8,15.7,9.25,15.7,15.947727110782903,216.03,1095.6,827.7,12.81
7,1,2500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,33.54,1098.3,821.5,16.74,107.78,62.26,14.1,40.4,27.25,40.4,42.78983524156175,470.07,1095.6,827.7,8.38
7,1,3000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,61.99,1103.35,792.05,5.17,37.9,21.535,9.1,24.4,16.75,24.4,26.041697333315273,1048.11,1095.6,827.7,36.35
7,1,3500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,59.07,1111.2,797.0,56.77,48.02,52.395,26.1,26.3,26.200000000000003,26.3,37.05266522127659,993.92,1095.6,827.7,34.75
7,1,4000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,79.14,1103.4,776.5,368.47,57.16,212.815,62.6,33.3,47.95,62.6,70.90592358893578,1469.98,1095.6,827.7,53.74
7,1,4500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,59.32,1099.3,794.8,1.11,30.63,15.87,4.6,27.8,16.2,27.8,28.178005607210743,1124.58,1095.6,827.7,33.14
7,1,5000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,71.77,1101.7,782.45,93.57,69.04,81.305,34.0,34.3,34.15,34.3,48.295859035739284,1455.26,1095.6,827.7,45.95
7,1,5500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,77.54,1079.5,779.8,64.6,67.27,65.935,31.7,33.3,32.5,33.3,45.975863232787695,1442.87,1095.6,827.7,50.56
7,1,6000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,67.66,1085.3,788.8,56.52,59.94,58.230000000000004,20.8,29.9,25.35,29.9,36.42320688791694,1169.99,1095.6,827.7,40.6
7,1,6500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,72.03,1079.8,785.8,52.1,60.95,56.525000000000006,28.3,49.3,38.8,49.3,56.845228471702,1557.43,1095.6,827.7,45.35
7,1,7000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,67.89,1087.6,787.5,63.99,59.05,61.519999999999996,87.9,42.9,65.4,87.9,97.81012217557036,3213.24,1095.6,827.7,41.1
7,1,7500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,70.42,1080.2,786.6,20.04,135.44,77.74,17.7,59.7,38.7,59.7,62.26861167554645,2084.86,1095.6,827.7,43.5
7,1,8000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,101.53,1074.1,757.8,26.83,95.92,61.375,33.9,57.8,45.849999999999994,57.8,67.00783536273948,4707.84,1095.6,827.7,74.67
7,1,8500,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,97.31,1084.5,759.1,367.17,32.7,199.935,132.2,37.3,84.75,132.2,137.3613118749235,4224.33,1095.6,827.7,70.79
7,1,9000,blast,13,25PP,im_log_game_1,im,1,1102,854,0.0,246.91,876.6,753.7,13532.73,80.19,6806.46,261.6,40.5,151.05,261.6,264.71647096469087,786.55,1095.6,827.7,231.42
7,1,9500,overkill,13,25PP,im_log_game_1,im,1,1102,854,0.0,336.17,1174.1,536.3,8193.52,5701.64,6947.58,340.2,281.3,310.75,340.2,441.43598629925947,761.23,1095.6,827.7,313.83
7,1,10000,overkill,13,25PP,im_log_game_1,im,1,1102,854,0.0,411.58,900.3,498.1,423.71,9.0,216.355,127.8,12.0,69.9,127.8,128.3621439521793,573.34,1095.6,827.7,385.65
8,2,500,activation,7,25PP,im_log_game_1,im,1,880,167,0.0,13.67,885.0,178.5,213.64,5.15,109.395,34.8,8.3,21.549999999999997,34.8,35.77610934688119,244.84,884.1,176.1,3.81
8,2,1000,activation,7,25PP,im_log_game_1,im,1,880,167,0.0,9.72,880.8,174.4,220.89,10.35,115.61999999999999,71.0,12.4,41.7,71.0,72.07468348872578,419.66,884.1,176.1,5.81
