index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,step,n,deviation,gaze_pos_x,gaze_pos_y
2,activate_star,4553,948,538,418389862,-,0,0,2012,im,1,01TG,im_log_game_1,9,activation,1,51.26,902.3,515.8
4,blast_step_2,5558,948,538,418390807,failure,-15,-15,3017,im,1,01TG,im_log_game_1,9,blast_step_1,1,61.76,898.0,504.1
5,blast_step_3,6558,948,538,418391824,success,30,15,4017,im,1,01TG,im_log_game_1,9,blast_step_2,1,72.58,908.3,477.6
6,blast_step_4,7558,948,538,418392862,success,45,60,5017,im,1,01TG,im_log_game_1,9,blast_step_3,1,65.18,914.4,481.0
7,blast_step_5,8559,948,538,418393796,success,55,115,6018,im,1,01TG,im_log_game_1,9,blast_step_4,1,67.47,936.3,471.2
8,blast_step_6,9559,948,538,418394825,success,80,195,7018,im,1,01TG,im_log_game_1,9,blast_step_5,1,89.05,926.7,452.25
9,blast_step_7,10561,948,538,418395857,success,65,260,8020,im,1,01TG,im_log_game_1,9,blast_step_6,1,87.27,910.65,457.3
10,blast_step_8,11564,948,538,418396793,failure,-36,224,9023,im,1,01TG,im_log_game_1,9,blast_step_7,1,297.84,874.6,248.5
11,overkill_step,12564,948,538,418397825,no_overkill,0,224,10023,im,1,01TG,im_log_game_1,9,overkill_step_8,1,313.42,862.75,236.5
15,activate_star,17142,1254,523,418402331,-,0,224,14601,im,1,01TG,im_log_game_1,16,activation,2,62.96,1205.6,483.5
16,blast_step_1,18152,1254,523,418403457,failure,-6,218,15611,im,1,01TG,im_log_game_1,16,blast_step_1,2,65.32,1202.0,483.1
17,blast_step_2,19153,1254,523,418404388,failure,-12,206,16612,im,1,01TG,im_log_game_1,16,blast_step_2,2,57.13,1206.8,484.7
18,blast_step_3,20155,1254,523,418405338,success,20,226,17614,im,1,01TG,im_log_game_1,16,blast_step_3,2,57.5,1210.2,484.4
19,blast_step_4,21158,1254,523,418406450,success,45,271,18617,im,1,01TG,im_log_game_1,16,blast_step_4,2,65.56,1212.8,472.5
20,blast_step_5,22158,1254,523,418407400,failure,-30,241,19617,im,1,01TG,im_log_game_1,16,blast_step_5,2,80.11,1223.5,450.5
21,blast_step_6,23158,1254,523,418408422,success,40,281,20617,im,1,01TG,im_log_game_1,16,blast_step_6,2,80.82,1219.7,450.8
22,blast_step_7,24158,1254,523,418409372,success,70,351,21617,im,1,01TG,im_log_game_1,16,blast_step_7,2,94.72,1227.0,430.55
23,blast_step_8,25159,1254,523,418410391,success,65,416,22618,im,1,01TG,im_log_game_1,16,blast_step_8,2,105.45,1234.5,419.2
24,overkill_step,26159,1254,523,418411421,no_overkill,0,416,23618,im,1,01TG,im_log_game_1,16,overkill_step_9,2,293.84,1208.15,232.4
28,activate_star,30471,576,880,418415734,-,0,416,27930,im,1,01TG,im_log_game_1,1,activation,3,11.76,570.9,875.8
30,blast_step_2,31481,576,880,418416762,failure,-18,398,28940,im,1,01TG,im_log_game_1,1,blast_step_1,3,15.88,564.1,870.35
31,blast_step_3,32483,576,880,418417701,success,20,418,29942,im,1,01TG,im_log_game_1,1,blast_step_2,3,17.04,563.6,870.8
32,blast_step_4,33484,576,880,418418751,success,30,448,30943,im,1,01TG,im_log_game_1,1,blast_step_3,3,21.74,568.2,859.8
33,blast_step_5,34488,576,880,418419782,success,45,493,31947,im,1,01TG,im_log_game_1,1,blast_step_4,3,53.5,581.1,826.5
34,blast_step_6,35494,576,880,418420723,success,80,573,32953,im,1,01TG,im_log_game_1,1,blast_step_5,3,57.29,592.75,824.4
35,blast_step_7,36499,576,880,418421753,success,55,628,33958,im,1,01TG,im_log_game_1,1,blast_step_6,3,80.03,594.4,802.2
36,blast_step_8,37504,576,880,418422782,failure,-39,589,34963,im,1,01TG,im_log_game_1,1,blast_step_7,3,195.67,698.9,728.2
37,overkill_step,38508,576,880,418423719,no_overkill,0,589,35967,im,1,01TG,im_log_game_1,1,overkill_step_8,3,193.33,704.8,736.0
41,activate_star,42811,1057,710,418428126,-,0,589,40270,im,1,01TG,im_log_game_1,11,activation,4,55.85,1004.6,688.7
43,blast_step_2,43819,1057,710,418429057,failure,-18,571,41278,im,1,01TG,im_log_game_1,11,blast_step_1,4,66.3,1009.7,665.7
44,blast_step_3,44824,1057,710,418430020,success,30,601,42283,im,1,01TG,im_log_game_1,11,blast_step_2,4,65.97,1019.6,657.6
45,blast_step_4,45825,1057,710,418431139,success,30,631,43284,im,1,01TG,im_log_game_1,11,blast_step_3,4,75.46,1020.9,642.55
46,blast_step_5,46825,1057,710,418432081,success,45,676,44284,im,1,01TG,im_log_game_1,11,blast_step_4,4,76.4,1017.8,644.2
47,blast_step_6,47827,1057,710,418433111,success,30,706,45286,im,1,01TG,im_log_game_1,11,blast_step_5,4,67.64,1022.6,651.0
48,blast_step_7,48831,1057,710,418434137,success,45,751,46290,im,1,01TG,im_log_game_1,11,blast_step_6,4,79.06,1036.0,633.7
49,blast_step_8,49835,1057,710,418435076,success,50,801,47294,im,1,01TG,im_log_game_1,11,blast_step_7,4,80.66,1041.5,631.0
50,overkill_step,50837,1057,710,418436108,overkill,-15,786,48296,im,1,01TG,im_log_game_1,11,overkill_step_8,4,127.72,1021.7,588.2
51,overkill_step,51839,1057,710,418437141,no_overkill,0,786,49298,im,1,01TG,im_log_game_1,11,overkill_step_9,4,450.15,865.1,302.8
55,activate_star,56385,729,734,418441671,-,0,786,53844,im,1,01TG,im_log_game_1,4,activation,5,50.86,685.9,706.4
57,blast_step_2,57391,729,734,418442701,failure,-12,774,54850,im,1,01TG,im_log_game_1,4,blast_step_1,5,49.45,691.4,704.4
58,blast_step_3,58391,729,734,418443672,failure,-15,759,55850,im,1,01TG,im_log_game_1,4,blast_step_2,5,50.19,689.4,702.6
59,blast_step_4,59391,729,734,418444643,success,25,784,56850,im,1,01TG,im_log_game_1,4,blast_step_3,5,58.46,693.8,685.8
60,blast_step_5,60396,729,734,418445676,success,55,839,57855,im,1,01TG,im_log_game_1,4,blast_step_4,5,61.71,716.8,676.6
61,blast_step_6,61398,729,734,418446699,success,40,879,58857,im,1,01TG,im_log_game_1,4,blast_step_5,5,69.01,727.7,665.0
62,blast_step_7,62402,729,734,418447641,success,55,934,59861,im,1,01TG,im_log_game_1,4,blast_step_6,5,79.53,728.9,655.0
63,blast_step_8,63403,729,734,418448680,success,90,1024,60862,im,1,01TG,im_log_game_1,4,blast_step_7,5,97.88,727.1,637.0
64,overkill_step,64405,729,734,418449702,no_overkill,0,1024,61864,im,1,01TG,im_log_game_1,4,overkill_step_8,5,83.09,728.65,685.0
72,activate_star,72620,876,270,418457940,-,0,1024,70079,im,1,01TG,im_log_game_1,7,activation,6,36.73,843.1,264.1
74,blast_step_2,73623,876,270,418458874,failure,-9,1015,71082,im,1,01TG,im_log_game_1,7,blast_step_1,6,28.58,849.8,264.0
75,blast_step_3,74623,876,270,418459909,failure,-18,997,72082,im,1,01TG,im_log_game_1,7,blast_step_2,6,31.71,860.9,241.6
76,blast_step_4,75628,876,270,418460883,success,45,1042,73087,im,1,01TG,im_log_game_1,7,blast_step_3,6,36.86,855.45,238.5
77,blast_step_5,76630,876,270,418461918,success,55,1097,74089,im,1,01TG,im_log_game_1,7,blast_step_4,6,37.25,875.2,235.3
78,blast_step_6,77632,876,270,418462951,success,80,1177,75091,im,1,01TG,im_log_game_1,7,blast_step_5,6,63.51,869.1,207.4
79,blast_step_7,78633,876,270,418463928,success,65,1242,76092,im,1,01TG,im_log_game_1,7,blast_step_6,6,75.34,850.4,198.9
80,blast_step_8,79633,876,270,418464887,success,65,1307,77092,im,1,01TG,im_log_game_1,7,blast_step_7,6,71.52,883.4,200.3
81,overkill_step,80636,876,270,418465928,no_overkill,0,1307,78095,im,1,01TG,im_log_game_1,7,overkill_step_8,6,312.11,1186.0,232.45
85,activate_star,84978,636,240,418470264,-,0,1307,82437,im,1,01TG,im_log_game_1,2,activation,7,14.34,639.0,231.1
