event_name,decision,subject,condition,res_timestamp,n_star,n_game,filename
inner_band_1,0,01TG,im,418390807,9,1,im_log_game_1
inner_band_2,1,01TG,im,418391824,9,1,im_log_game_1
inner_band_3,1,01TG,im,418392862,9,1,im_log_game_1
inner_band_4,1,01TG,im,418393796,9,1,im_log_game_1
inner_band_5,1,01TG,im,418394825,9,1,im_log_game_1
inner_band_6,1,01TG,im,418395857,9,1,im_log_game_1
inner_band_7,0,01TG,im,418396793,9,1,im_log_game_1
outer_band_1,0,01TG,im,418397825,9,1,im_log_game_1
outer_band_2,0,01TG,im,418397825,9,1,im_log_game_1
outer_band_3,0,01TG,im,418397825,9,1,im_log_game_1
outer_band_4,0,01TG,im,418397825,9,1,im_log_game_1
inner_band_1,0,01TG,im,418403457,16,1,im_log_game_1
inner_band_2,0,01TG,im,418404388,16,1,im_log_game_1
inner_band_3,1,01TG,im,418405338,16,1,im_log_game_1
inner_band_4,1,01TG,im,418406450,16,1,im_log_game_1
inner_band_5,0,01TG,im,418407400,16,1,im_log_game_1
inner_band_6,1,01TG,im,418408422,16,1,im_log_game_1
inner_band_7,1,01TG,im,418409372,16,1,im_log_game_1
inner_band_8,1,01TG,im,418410391,16,1,im_log_game_1
outer_band_1,0,01TG,im,418411421,16,1,im_log_game_1
outer_band_2,0,01TG,im,418411421,16,1,im_log_game_1
outer_band_3,0,01TG,im,418411421,16,1,im_log_game_1
outer_band_4,0,01TG,im,418411421,16,1,im_log_game_1
inner_band_1,0,01TG,im,418416762,1,1,im_log_game_1
inner_band_2,1,01TG,im,418417701,1,1,im_log_game_1
inner_band_3,1,01TG,im,418418751,1,1,im_log_game_1
inner_band_4,1,01TG,im,418419782,1,1,im_log_game_1
inner_band_5,1,01TG,im,418420723,1,1,im_log_game_1
inner_band_6,1,01TG,im,418421753,1,1,im_log_game_1
inner_band_7,0,01TG,im,418422782,1,1,im_log_game_1
outer_band_1,0,01TG,im,418423719,1,1,im_log_game_1
outer_band_2,0,01TG,im,418423719,1,1,im_log_game_1
outer_band_3,0,01TG,im,418423719,1,1,im_log_game_1
outer_band_4,0,01TG,im,418423719,1,1,im_log_game_1
inner_band_1,0,01TG,im,418429057,11,1,im_log_game_1
inner_band_2,1,01TG,im,418430020,11,1,im_log_game_1
inner_band_3,1,01TG,im,418431139,11,1,im_log_game_1
inner_band_4,1,01TG,im,418432081,11,1,im_log_game_1
inner_band_5,1,01TG,im,418433111,11,1,im_log_game_1
inner_band_6,1,01TG,im,418434137,11,1,im_log_game_1
inner_band_7,1,01TG,im,418435076,11,1,im_log_game_1
outer_band_1,1,01TG,im,418436108,11,1,im_log_game_1
outer_band_2,1,01TG,im,418436108,11,1,im_log_game_1
outer_band_3,0,01TG,im,418436108,11,1,im_log_game_1
