subject,condition,n_game,TPR,TNR,bal_acc,p_correct,p_hh,n_overkill_average
01TG,im,1,84.0,76.25,80.12,95.0,95.0,0.55
01TG,im,2,89.0,61.25,75.12,85.0,85.0,1.0
01TG,im,3,83.0,62.5,72.75,95.0,90.0,0.9
01TG,qm,1,97.0,56.25,76.62,100.0,65.0,1.2
01TG,qm,2,86.0,87.5,86.75,95.0,90.0,0.25
01TG,qm,3,94.0,48.75,71.38,100.0,65.0,1.2
02ES,im,1,90.0,92.5,91.25,100.0,80.0,0.2
02ES,im,2,91.0,81.25,86.12,100.0,100.0,0.4
02ES,im,3,89.0,78.75,83.88,100.0,95.0,0.45
02ES,qm,1,89.0,78.75,83.88,95.0,80.0,0.55
02ES,qm,2,91.0,75.0,83.0,95.0,70.0,0.6
02ES,qm,3,77.0,71.25,74.12,80.0,35.0,0.8
03AC,im,1,88.0,61.25,74.63,85.0,100.0,1.25
03AC,im,2,87.0,55.0,71.0,80.0,100.0,1.45
03AC,im,3,92.0,28.75,60.38,75.0,90.0,2.6
03AC,qm,1,92.0,57.5,74.75,95.0,90.0,1.0
03AC,qm,2,93.0,57.5,75.25,100.0,85.0,1.1
03AC,qm,3,96.0,45.0,70.5,95.0,90.0,1.6
06KK,im,1,74.0,67.5,70.75,90.0,85.0,0.85
06KK,im,2,83.0,53.75,68.38,90.0,60.0,1.25
06KK,im,3,96.0,42.5,69.25,100.0,65.0,1.8
06KK,qm,1,76.0,55.0,65.5,75.0,75.0,1.2
06KK,qm,2,89.0,52.5,70.75,95.0,80.0,1.3
06KK,qm,3,84.0,58.75,71.38,75.0,100.0,1.1
07TS,im,1,94.0,78.75,86.38,100.0,45.0,0.45
07TS,im,2,80.0,80.0,80.0,90.0,55.0,0.45
07TS,im,3,84.0,62.5,73.25,95.0,20.0,0.9
07TS,qm,1,94.0,71.25,82.62,100.0,10.0,0.65
07TS,qm,2,81.0,90.0,85.5,95.0,50.0,0.2
07TS,qm,3,82.0,76.25,79.12,100.0,40.0,0.6
10AS,im,1,97.0,73.75,85.38,100.0,20.0,0.65
10AS,im,2,78.0,77.5,77.75,90.0,70.0,0.75
10AS,im,3,87.0,83.75,85.38,95.0,50.0,0.35
10AS,qm,1,96.0,56.25,76.12,100.0,60.0,1.4
10AS,qm,2,100.0,41.25,70.62,100.0,75.0,1.8
